# Leipzig English News frequency list (top 100)
# License: CC BY 4.0
# Citation: Goldhahn, Eckart & Quasthoff (2012)
# Format: word<TAB>frequency
the	61892
of	36541
and	28837
to	26849
a	23738
in	21437
that	11456
is	10934
was	9821
for	8567
it	8123
with	7567
as	7234
he	6890
his	6234
on	5987
be	5678
at	5421
by	5234
I	4987
this	4567
had	4321
not	4098
are	3987
but	3876
from	3876
or	3654
have	3567
an	3456
they	3234
which	3234
one	3123
you	3012
were	2901
her	2789
all	2789
she	2678
there	2567
would	2456
their	2345
we	2345
him	2234
been	2123
has	2012
when	1901
who	1901
will	1789
more	1678
no	1567
if	1456
out	1456
so	1345
said	1234
what	1123
up	1012
its	1012
about	987
into	976
than	965
them	954
can	954
only	943
other	932
new	921
some	910
could	910
time	899
these	888
two	877
may	866
then	866
do	855
first	844
any	833
my	822
now	822
such	811
like	800
our	789
before	778
also	778
did	767
many	756
over	745
most	734
man	734
years	723
after	712
very	701
your	690
made	690
well	679
where	668
people	657
just	646
because	646
good	635
each	624
those	613
how	602
too	602
little	591
state	580
much	569
should	558
